rainfall,temperature,humidity,soil_moisture,wind_speed,atmospheric_pressure,previous_disaster,disaster_type,target,seismic_activity
86.14047089213537,28.106357883680307,93.26767353423413,58.851051867029284,52.67257252070978,998.6530891103786,1.0,Flood,0,
,17.082987754598697,82.7065754325676,,12.874113956500597,1033.9432134101858,0.0,Earthquake,0,1.4796291872954486
,31.208242348873103,58.06075572082497,,16.10670258378562,986.8570844952716,0.0,Earthquake,0,0.9514168275043421
,9.43074671946889,19.84808490762797,,38.79470003671506,1043.7019453143391,0.0,Earthquake,0,0.4615498196827629
289.1411910548952,28.85208111187744,53.373448704975665,96.42163102256757,6.984773936180025,985.5933228052212,0.0,Flood,1,
,21.270731939768112,63.596540762531404,,12.386760976933912,990.130203241025,0.0,Earthquake,1,4.598653202646353
,9.319277585826438,63.30667143794047,,11.35506726629937,1049.4083286007292,0.0,Earthquake,0,0.17220550643850027
187.6801115484243,33.86736928742663,66.00454813641574,,10.573728859625973,995.5885831437525,0.0,Flood,0,
,23.041624487794163,44.733208451589135,,54.72387988320297,1026.490297200938,0.0,Earthquake,0,1.0465675932724483
78.13847983194393,26.18779529298434,82.23555461116764,43.71096524678322,64.98104321032632,1005.005020523273,1.0,Flood,0,
,30.461548343600594,76.63594104229212,,2.693768182357825,1016.8066411461397,0.0,Earthquake,0,0.8761879283434967
123.6191071918837,31.491116568067948,89.74644878657374,47.36488957272921,45.33924116970462,1000.8551662066641,0.0,Flood,0,
,25.168695663042467,27.345542214078844,,25.1207966133721,1018.1044604369275,0.0,Earthquake,0,4.819295797455131
,32.66787672562583,52.72091270781484,,6.880954320435189,998.201740568868,1.0,Earthquake,0,0.0645194930559777
,24.04286219256146,64.88002902561637,,17.25659406430666,1014.162634495244,0.0,Earthquake,0,0.35566142174657855
,12.126042542326509,67.64044553225914,,16.7803228797043,1001.0278804833225,0.0,Earthquake,0,0.2169532663162034
188.13961793714495,20.986973641001534,54.35939373131827,53.927158515298146,9.674763481997651,998.2258682364177,0.0,Flood,0,
,26.035206078086283,23.227637290901658,,8.09214665244104,1024.7415607513806,0.0,Earthquake,0,1.9217974573395578
,30.453330075613117,,,26.22975777050766,990.7242684457343,0.0,Earthquake,0,0.363212042208163
30.046137918449315,24.15013384470679,66.06936920664288,29.720471366647622,24.809840290933472,1008.7252978460131,0.0,Flood,0,
161.74927652483132,30.097662219535138,55.586620386463714,63.21214205375032,5.677568454753465,1005.4380642342966,0.0,Flood,0,
122.75471561279304,38.44187352390364,81.97186967153891,51.12441926650564,14.018675118750155,999.8876918546233,0.0,Flood,0,
48.312677994016596,29.608489030980067,46.41819376967349,33.055674179786635,105.82436777947125,998.911563800891,1.0,Flood,0,
45.97377202553983,19.19618620422091,62.96724327311652,29.483954253174943,5.967465874066963,1003.6979855373294,0.0,Flood,0,
112.89788763923127,30.98700034924929,85.45901045448163,59.59252243765246,22.590370309514288,1008.2312050745043,0.0,Flood,0,
123.48721672049169,19.773006265215542,77.2522437061704,65.9795761238527,11.673905605855888,1003.6768613790445,0.0,Flood,0,
83.5295409153253,22.886037174007974,46.772190855120996,47.97245160219838,40.02325605879273,1015.0791669583034,1.0,Flood,0,
,22.258951140211458,67.86366791277686,,41.45374778823267,997.525611070311,0.0,Earthquake,0,0.41960100468038763
,8.539581193365915,41.179007334651914,,15.196990218955637,1022.088744787389,1.0,Earthquake,0,1.503774461110569
,22.032313515800052,59.837760064185794,,8.527484212835466,1008.7121319615766,0.0,Earthquake,0,0.19734223741184861
87.49344438671332,34.06548849989592,86.67491281493179,36.772917874116146,26.638596576282303,994.5112881827595,0.0,Flood,0,
304.2710725345814,33.8041339368926,73.58511861443785,93.65428767821747,19.642394414617893,983.4934889144856,0.0,Flood,1,
,31.37590541972844,61.08328279660067,,9.244989093701092,1015.6877731627378,1.0,Earthquake,1,7.113254158645382
360.2155090025396,22.483958171391585,64.9427842559824,100.0,25.26137079953796,987.0696887075699,0.0,Flood,1,
41.68158510666282,29.336961570359513,56.34071622556887,38.57652581143462,28.918165493950116,1010.4791093758081,1.0,Flood,0,
209.32314674557367,29.513177326195166,94.46457580372225,73.66159809704067,13.753516511335489,996.6175479767518,0.0,Flood,1,
,29.428974467516916,56.768877339319715,,9.747751533512915,1033.741755333575,0.0,Earthquake,0,1.6861939214710804
85.40438831614674,24.415888396985977,93.78812181830834,45.76320598096886,23.708574423592374,1017.2618275620482,1.0,Flood,0,
,13.02138947940277,29.2548127776353,,8.227502208433272,977.2135656280675,0.0,Earthquake,0,0.8643351376512091
60.02148217769254,32.386811452878355,71.0262020716175,36.10184413239528,35.98978107003059,1005.9329848908463,0.0,Flood,0,
75.19694023387147,36.362861934188516,86.06121125828147,36.929093737876016,7.572798616616891,992.9825907215821,0.0,Flood,0,
73.60583476419414,36.637715850503554,69.5750108097121,42.396042162671364,6.8904902900589695,1008.9606493853128,0.0,Flood,0,
33.26165415577465,26.104361295062564,72.94409965883492,32.8489952950776,11.859907427723611,1010.5285500083346,0.0,Flood,0,
,27.67303075321413,90.132182452356,,4.519430877660725,1037.2593627375563,0.0,Earthquake,0,1.659524999271864
11.412308861915186,27.264989991857558,72.89410348753405,25.829528960403923,16.87181585097578,1007.5018855805235,1.0,Flood,0,
